WardNo,Registered,TotalBallots,ppmVoterTurnout,ppmDemPOTUS,ppmRepPOTUS,ppmDemAverage,ppmRepAverage,logitAverage,ppmDemMaxes,ppmRepMaxes,logitMaxes,ppmDemREPUS,ppmRepREPUS,ppmDemSenWi,ppmRepSenWi,ppmDemRepWi,ppmRepRepWi,ppmDemMinor,ppmRepMinor,WardName
 357, 430, 391, 909302, 452685, 529411, 398976, 557544, 503346, 608695, 560102, 499168, 396419, 560102,      0,      0, 401534, 554987, 608695,      0,City of Franklin Ward 15B
 358,1337,1244, 930441, 424437, 556270, 386387, 573954, 503957, 577974, 617363, 500659, 360932, 617363, 398713, 567524, 399517, 536977, 577974,      0,City of Franklin Ward 16
 359, 809, 759, 938195, 521739, 461133, 489239, 482652, 499864, 667984, 508563, 497273, 469038, 508563, 487483, 484848, 511198, 454545, 667984,      0,City of Franklin Ward 17
 360, 498, 472, 947791, 449152, 542372, 406779, 560734, 503209, 620762, 580508, 499329, 389830, 580508, 417372, 557203, 413135, 544491, 620762,      0,City of Franklin Ward 18
 361,1371,1281, 934354, 434816, 555815, 387717, 571427, 503878, 610460, 601092, 499845, 366900, 601092, 390320, 570647, 405932, 542544, 610460,      0,City of Franklin Ward 19
 362, 714, 677, 948179, 485967, 500738, 454947, 491383, 500770, 629246, 518463, 498063, 444608, 518463, 460856, 493353, 459379, 462333, 629246,      0,City of Franklin Ward 20
 363, 352, 312, 886363, 557692, 407051, 528845, 409187, 497434, 717948, 439102, 495083, 516025, 439102, 538461, 407051, 532051, 381410, 717948,      0,City of Franklin Ward 21
 364, 759, 718, 945981, 441504, 551532, 402042, 563137, 503369, 625348, 590529, 499427, 381615, 590529, 406685, 558495, 417827, 540389, 625348,      0,City of Franklin Ward 22A
 365, 702, 680, 968660, 411764, 567647, 384803, 572548, 503973, 614705, 600000, 499757, 364705, 600000, 395588, 555882, 394117, 561764, 614705,      0,City of Franklin Ward 22B
 366,1339,1279, 955190, 385457, 596559, 345842, 614802, 505753, 566067, 647380, 501342, 326817, 647380, 355746, 611415, 354964, 585613, 566067,      0,City of Franklin Ward 23
 367,1473,1368, 928716, 719298, 253654, 663376, 275584, 491215, 722953, 277046, 490408, 668128, 277046, 722953,      0, 658625, 274122, 722953,      0,City of Glendale Wards 17
 368,1038, 937, 902697, 759871, 226254, 712913, 224119, 488428, 734258, 225186, 488180, 725720, 223052, 723585,      0, 700106, 225186, 734258,      0,City of Glendale Wards 28S
 369, 571, 532, 931698, 669172, 323308, 622806, 351503, 494279, 736842, 359022, 492810, 627819, 340225, 625939, 359022, 614661, 355263, 736842,      0,City of Glendale Ward 8
 370,1688,1550, 918246, 679354, 296129, 650537, 316773, 492803, 739354, 329032, 491903, 645161, 307741, 646451, 329032, 660000, 313548, 739354,      0,City of Glendale Wards 39
 371,1789,1661, 928451, 705599, 281757, 666867, 306240, 492217, 759181, 308248, 490986, 661047, 304635, 669476, 308248, 670078, 305839, 759181,      0,City of Glendale Wards 410
 372,1437,1316, 915796, 709726, 271276, 677304, 295338, 491700, 753799, 296352, 490664, 662613, 294832, 686170, 296352, 683130, 294832, 753799,      0,City of Glendale Wards 511 (D
 373, 334, 279, 835329, 842293, 146953, 797490, 163082, 484127, 860215, 172043, 483905, 810035, 154121, 860215,      0, 784946, 172043, 849462,      0,City of Glendale Ward 11S (Dis
 374,1285,1156, 899610, 749134, 233564, 698096, 243944, 489485, 756920, 248269, 488852, 701557, 248269, 743944,      0, 694636, 239619, 756920,      0,City of Glendale Wards 612
 375,1894,1768, 933474, 466063, 518099, 422510, 541289, 502477, 605769, 576357, 499502, 401583, 576357, 422511, 546380, 443438, 501131, 605769,      0,V. Greendale Wards 12
 376,2180,2009, 921559, 528123, 449975, 488136, 463414, 499480, 659034, 500248, 497243, 467894, 500248, 495271, 465903, 501244, 424091, 659034,      0,V. Greendale Wards 34
 377,1929,1784, 924831, 511210, 473654, 470477, 487481, 500355, 635650, 527466, 498134, 446748, 527466, 470291, 496076, 494394, 438901, 635650,      0,V. Greendale Wards 56
 378,1912,1762, 921548, 510783, 467650, 475784, 486189, 500216, 667423, 518728, 497479, 456299, 518728, 479001, 490919, 492054, 448921, 667423,      0,V. Greendale Wards 78
 379,2319,2135, 920655, 509133, 479625, 469788, 487275, 500365, 648243, 522716, 497847, 446370, 522716, 475409, 485714, 487587, 453395, 648243,      0,V. Greendale Wards 910
 380,1190,1037, 871428, 555448, 422372, 554484, 411764, 497024, 677917, 411764, 495014, 554484, 411764,      0,      0, 675024,      0, 677917,      0,City of Greenfield Ward 1
 381,1023, 903, 882697, 492801, 495016, 465484, 479143, 500289, 663344, 500553, 497184, 462901, 500553, 469545, 481727, 464008, 455149, 663344,      0,City of Greenfield Ward 2
 382, 999, 853, 853853, 580304, 402110, 548651, 403282, 496921, 658851, 403282, 495091, 548651, 403282,      0,      0, 658851,      0, 655334,      0,City of Greenfield Ward 3
 383,1014, 833, 821499, 619447, 367346, 584633, 373349, 495515, 697478, 373349, 493750, 584633, 373349,      0,      0, 687875,      0, 697478,      0,City of Greenfield Ward 4
 384,1136, 976, 859154, 532786, 449795, 518442, 442622, 498418, 670081, 621926, 499254, 521516, 444672, 515368, 440573,      0, 621926, 670081,      0,City of Greenfield Ward 5
 385,1105, 997, 902262, 449348, 531594, 436809, 528585, 501907, 607823, 654964, 500746, 435305, 535606, 438314, 521564,      0, 654964, 607823,      0,City of Greenfield Ward 6
 386,1442,1300, 901525, 483846, 494615, 461538, 491538, 500629, 637692, 635384, 499963, 458461, 496923, 464615, 486153,      0, 635384, 637692,      0,City of Greenfield Ward 7
 387,1277,1129, 884103, 542072, 446412, 503542, 447298, 498815, 666961, 609388, 499097, 503100, 453498, 503985, 441098,      0, 609388, 666961,      0,City of Greenfield Ward 8
 388,1178,1068, 906621, 514981, 467228, 474719, 490636, 500329, 652621, 655430, 500042, 474719, 495318, 474719, 485955,      0, 655430, 652621,      0,City of Greenfield Ward 9
 389,1238,1105, 892568, 511312, 468778, 488687, 486424, 499953, 650678, 668778, 500274, 495022, 485972, 482352, 486877,      0, 668778, 650678,      0,City of Greenfield Ward 10
 390,1392,1328, 954022, 466114, 518825, 435993, 534638, 502039, 597138, 663403, 501052, 441265, 535391, 430722, 533885,      0, 663403, 597138,      0,City of Greenfield Ward 11
 391,1469,1395, 949625, 436559, 549820, 417203, 544802, 502668, 609318, 698924, 501372, 415770, 548387, 418637, 541218,      0, 698924, 609318,      0,City of Greenfield Ward 12
 392, 723, 677, 936376, 519940, 468242, 494091, 469719, 499494, 664697, 655834, 499865, 490398, 472673, 497784, 466765,      0, 655834, 664697,      0,City of Greenfield Ward 13
 393,1025, 910, 887804, 515384, 470329, 506593, 448351, 498778, 671428, 667032, 499934, 491208, 465934, 521978, 430769,      0, 667032, 671428,      0,City of Greenfield Ward 14
 394,1020, 915, 897058, 471038, 510382, 461201, 498360, 500774, 665573, 693989, 500418, 455737, 502732, 466666, 493989,      0, 693989, 665573,      0,City of Greenfield Ward 15
 395, 454, 385, 848017, 472727, 519480, 456276, 498700, 500889, 677922, 506493, 497084, 462337, 506493, 464935, 501298, 441558, 488311, 677922,      0,City of Greenfield Ward 16
 396, 909, 816, 897689, 564950, 424019, 523284, 402368, 497372, 666666, 420343, 495387, 520833, 420343, 542892, 397058, 506127, 389705, 666666,      0,City of Greenfield Ward 17
 397, 975, 890, 912820, 478651, 503370, 465168, 505617, 500833, 608988, 505617, 498139, 465168, 505617,      0,      0, 608988,      0, 605617,      0,City of Greenfield Ward 18
 398,1439,1300, 903405, 587692, 403846, 558204, 404358, 496775, 714615, 414615, 494556, 559230, 414615, 563846, 406153, 551538, 392307, 714615,      0,City of Greenfield Ward 19
 399,1522,1367, 898160, 501097, 486466, 471104, 472079, 500020, 637161, 485003, 497271, 468178, 485003, 475493, 479882, 469641, 451353, 637161,      0,City of Greenfield Ward 20
 400, 974, 840, 862422, 535714, 442857, 508333, 429761, 498320, 682142, 445238, 495733, 508333, 445238, 513095, 439285, 503571, 404761, 682142,      0,City of Greenfield Ward 21
 401,1800,1641, 911666, 442413, 535039, 405037, 555148, 503152, 578915, 575258, 499936, 391834, 575258, 415600, 544789, 407678, 545399, 578915,      0,V. Hales Corners Wards 123
 402,1764,1610, 912698, 466459, 514906, 424223, 540993, 502431, 616149, 566459, 499159, 408695, 566459, 434161, 527950, 429813, 528571, 616149,      0,V. Hales Corners Wards 456
 403,1646,1559, 947144, 489416, 495189, 451357, 509728, 501216, 622193, 533033, 498453, 437459, 533033, 462475, 499679, 454137, 496472, 622193,      0,V. Hales Corners Wards 789
 404,3748,3533, 942636, 481460, 493631, 437163, 533823, 501997, 663458, 538069, 497905, 429097, 538069,      0,      0, 445230, 529578, 663458,      0,C. Oak Creek Wards 123
 405,3714,3463, 932417, 513138, 464048, 466358, 506063, 500817, 686976, 512272, 497065, 460294, 512272,      0,      0, 472422, 499855, 686976,      0,C. Oak Creek Wards 456
 406,3708,3470, 935814, 476080, 506628, 419451, 546829, 502651, 637752, 550432, 498527, 412391, 550432,      0,      0, 426512, 543227, 637752,      0,C. Oak Creek Wards 789
 407,4045,3770, 932014, 423342, 554376, 382890, 593899, 504389, 604774, 597082, 499871, 376657, 597082,      0,      0, 389124, 590716, 604774,      0,C. Oak Creek Wards 101112
 408,3878,3670, 946364, 424795, 560217, 367029, 607492, 505038, 595095, 609536, 500239, 365122, 605449,      0,      0, 368937, 609536, 595095,      0,C. Oak Creek Wards 131415
 409,3262,2934, 899448, 533401, 445466, 490285, 475971, 499703, 692910, 478527, 496298, 488070, 478527,      0,      0, 492501, 473415, 692910,      0,C. Oak Creek Wards 16171819
 410,1365,1266, 927472, 564770, 422590, 497629, 483148, 499704, 606635, 497630, 498019, 507898, 477093, 481832, 497630, 503159, 474723, 606635,      0,V. River Hills Wards 123
 411,1912,1693, 885460, 570584, 406379, 549320, 385705, 496463, 698759, 385705, 494057, 549320, 385705,      0,      0, 698759,      0, 689899,      0,C. St. Francis Wards 1234
 412,2000,1823, 911500, 573230, 407021, 530992, 393307, 496998, 698299, 393307, 494259, 530992, 393307,      0,      0, 698299,      0, 693362,      0,C. St. Francis Wards 5678
 413,2381,2209, 927761, 620190, 365323, 575373, 363060, 495395, 718424, 363060, 493175, 575373, 363060,      0,      0, 718424,      0, 697600,      0,C. St. Francis Wards 910111
 414,3902,3519, 901845, 810173, 172208, 764137, 183574, 485738, 784313, 183574, 485478, 764137, 183574, 761295,      0, 784313,      0, 773231,      0,V. Shorewood Wards 1234
 415,3266,2944, 901408, 835597, 147758, 772418, 175271, 485168, 798913, 175271, 484830, 772418, 175271, 768342,      0, 798913,      0, 790081,      0,V. Shorewood Wards 5678
 416,3131,2853, 911210, 837364, 146862, 792148, 161934, 484124, 806168, 161934, 483948, 792148, 161934, 786540,      0, 806168,      0, 797055,      0,V. Shorewood Wards 9101112
 417,3080,2830, 918831, 530742, 442402, 497703, 452826, 499055, 653710, 478091, 496871, 498233, 427561,      0,      0, 497173, 478091, 653710,      0,C. So. Milw. Wards 1234
 418,2767,2471, 893024, 501821, 477134, 472278, 471468, 499982, 662484, 495750, 497100, 473087, 447187,      0,      0, 471469, 495750, 662484,      0,C. So. Milw. Wards 5678
 419,3418,3159, 924224, 488445, 496992, 447926, 513928, 501374, 635960, 537828, 498324, 452358, 490028,      0,      0, 443494, 537828, 635960,      0,C. So. Milw. Wards 9101112
 420,3073,2766, 900097, 489515, 486261, 468727, 482646, 500292, 663774, 501084, 497188, 466377, 464208,      0,      0, 471077, 501084, 663774,      0,C. So. Milw. Wards 13141516
 421,1418,1314, 926657, 711567, 267884, 675037, 303652, 492011, 739726, 305936, 491170, 676560, 301369,      0,      0, 673515, 305936, 739726,      0,City of Wauwatosa Ward 1
 422,1451,1328, 915230, 757530, 224397, 726656, 249623, 489314, 786144, 256777, 488810, 722138, 256777,      0,      0, 731174, 242469, 786144,      0,City of Wauwatosa Ward 2
 423,1572,1407, 895038, 697228, 285003, 657071, 323027, 492899, 741293, 326226, 491791, 664534, 319829,      0,      0, 649609, 326226, 741293,      0,City of Wauwatosa Ward 3
 424,2060,1900, 922330, 665263, 310000, 623946, 354999, 494360, 737368, 356842, 492742, 626315, 356842,      0,      0, 621578, 353157, 737368,      0,City of Wauwatosa Ward 4
 425,1260,1101, 873809, 678474, 302452, 638964, 334695, 493533, 753860, 336966, 491947, 639418, 336966,      0,      0, 638510, 332425, 753860,      0,City of Wauwatosa Ward 5
 426,1158,1027, 886873, 713729, 259980, 679162, 296981, 491728, 749756, 299902, 490837, 681596, 294060,      0,      0, 676728, 299902, 749756,      0,City of Wauwatosa Ward 6
 427,1716,1566, 912587, 650063, 325031, 608237, 368135, 494978, 731800, 370370, 493189, 613026, 365900,      0,      0, 603448, 370370, 731800,      0,City of Wauwatosa Ward 7
 428, 824, 699, 848300, 592274, 394849, 530042, 429184, 497889, 696709, 432045, 495221, 529327, 432045,      0,      0, 530758, 426323, 696709,      0,City of Wauwatosa Ward 8
 429,1624,1448, 891625, 540745, 435773, 518300, 458908, 498782, 674033, 466160, 496312, 524171, 451657,      0,      0, 512430, 466160, 674033,      0,City of Wauwatosa Ward 9
 430,1555,1427, 917684, 707077, 265592, 666432, 308339, 492292, 772950, 308339, 490809, 667834, 308339,      0,      0, 665031, 308339, 772950,      0,City of Wauwatosa Ward 10
 431,1485,1339, 901683, 703510, 276325, 673636, 301717, 491967, 743838, 305451, 491099, 682598, 297983,      0,      0, 664675, 305451, 743838,      0,City of Wauwatosa Ward 11
 432,1710,1586, 927485, 636191, 340479, 593946, 386191, 495695, 709331, 387767, 493960, 597730, 384615,      0,      0, 590163, 387767, 709331,      0,City of Wauwatosa Ward 12
 433, 821, 738, 898903, 728997, 237127, 683603, 283874, 491211, 772357, 284552, 490014, 685636, 283197,      0,      0, 681571, 284552, 772357,      0,City of Wauwatosa Ward 13
 434,1540,1388, 901298, 734149, 239913, 718299, 266210, 490073, 768731, 269452, 489516, 711815, 269452,      0,      0, 724783, 262968, 768731,      0,City of Wauwatosa Ward 14
 435,1631,1490, 913549, 757046, 218120, 740268, 245972, 488982, 808053, 250335, 488281, 736241, 250335,      0,      0, 744295, 241610, 808053,      0,City of Wauwatosa Ward 15
 436,1714,1595, 930571, 662068, 306583, 619435, 365517, 494725, 724137, 366144, 493180, 620689, 364890,      0,      0, 618181, 366144, 724137,      0,City of Wauwatosa Ward 16
 437,1454,1357, 933287, 586588, 388356, 522475, 464995, 498834, 682387, 477523, 496430, 535003, 452468,      0,      0, 509948, 477523, 682387,      0,City of Wauwatosa Ward 17
 438,1283,1138, 886983, 664323, 324253, 623462, 354569, 494356, 724956, 356766, 492909, 625659, 352372,      0,      0, 621265, 356766, 724956,      0,City of Wauwatosa Ward 18
 439,1435,1317, 917770, 634776, 345482, 604403, 370538, 495107, 719058, 371298, 493390, 605163, 369779,      0,      0, 603644, 371298, 719058,      0,City of Wauwatosa Ward 19
 440,1886,1721, 912513, 579895, 398605, 545612, 433177, 497692, 718187, 434049, 494964, 548518, 434049,      0,      0, 542707, 432306, 718187,      0,City of Wauwatosa Ward 20
 441,1295,1170, 903474, 583760, 392307, 549999, 423931, 497396, 682051, 424786, 495264, 550427, 423076,      0,      0, 549572, 424786, 682051,      0,City of Wauwatosa Ward 21
 442,1457,1382, 948524, 621562, 350217, 596237, 383863, 495596, 706946, 388567, 494015, 598408, 379160,      0,      0, 594066, 388567, 706946,      0,City of Wauwatosa Ward 22
 443,1333,1219, 914478, 547990, 425758, 525430, 449548, 498440, 676784, 456931, 496071, 529942, 442165,      0,      0, 520918, 456931, 676784,      0,City of Wauwatosa Ward 23
 444,1213,1063, 876339, 660395, 317968, 599717, 347600, 494545, 717779, 350893, 492843, 612417, 344308, 704609,      0, 587017, 350893, 717779,      0,City of Wauwatosa Ward 24
 445,1097, 878, 800364, 628701, 343963, 595671, 371298, 495273, 698177, 371298, 493685, 595671, 371298,      0,      0, 698177,      0, 697038,      0,City of West Allis Ward 1
 446,1475,1223, 829152, 684382, 298446, 659852, 313982, 492573, 763695, 313982, 491111, 659852, 313982,      0,      0, 763695,      0, 753883,      0,City of West Allis Ward 2
 447,1039, 829, 797882, 629674, 337756, 612786, 351025, 494428, 723763, 351025, 492763, 612786, 351025,      0,      0, 723763,      0, 722557,      0,City of West Allis Ward 3
 448,1476,1226, 830623, 582381, 398042, 563621, 406199, 496724, 686786, 406199, 494748, 563621, 406199,      0,      0, 686786,      0, 677814,      0,City of West Allis Ward 4
 449,1209,1001, 827956, 584415, 400599, 564435, 399600, 496546, 686313, 399600, 494591, 564435, 399600,      0,      0, 686313,      0, 676323,      0,City of West Allis Ward 5
 450,1173, 922, 786018, 531453, 432754, 523318, 444143, 498359, 689804, 445770, 495633, 519522, 445770,      0,      0, 527114, 442516, 689804,      0,City of West Allis Ward 6
 451,1414,1180, 834512, 572033, 398305, 542372, 428389, 497640, 713559, 435593, 495064, 550000, 421186,      0,      0, 534745, 435593, 713559,      0,City of West Allis Ward 7
 452,1183, 932, 787827, 606223, 361587, 577253, 387338, 496010, 737124, 389484, 493620, 578326, 385193,      0,      0, 576180, 389484, 737124,      0,City of West Allis Ward 8
 453,1541,1285, 833874, 571984, 407003, 546303, 433852, 497695, 707392, 445136, 495367, 556420, 422568,      0,      0, 536186, 445136, 707392,      0,City of West Allis Ward 9
 454,1365,1109, 812454, 605049, 373309, 584310, 385031, 495828, 700631, 385031, 494013, 584310, 385031,      0,      0, 693417,      0, 700631,      0,City of West Allis Ward 10
 455,1622,1406, 866831, 499288, 482930, 483996, 491465, 500153, 684210, 497155, 496806, 478662, 497155,      0,      0, 489331, 485775, 684210,      0,City of West Allis Ward 11
 456,1456,1267, 870192, 459352, 523283, 440409, 522888, 501716, 619573, 528808, 498415, 438831, 528808,      0,      0, 441988, 516969, 619573,      0,City of West Allis Ward 12
 457,1904,1719, 902836, 490401, 482257, 459860, 508434, 501004, 655031, 517742, 497647, 470622, 499127,      0,      0, 449098, 517742, 655031,      0,City of West Allis Ward 13
 458,1140, 910, 798245, 583516, 390109, 552197, 415933, 497166, 700000, 419780, 494886, 557142, 412087,      0,      0, 547252, 419780, 700000,      0,City of West Allis Ward 14
 459,1195, 988, 826778, 533400, 438259, 496963, 463056, 499293, 657894, 474696, 496736, 508097, 451417,      0,      0, 485829, 474696, 657894,      0,City of West Allis Ward 15
 460,1167,1000, 856898, 496000, 473000, 473000, 496500, 500484, 657000, 503000, 497329, 479000, 490000,      0,      0, 467000, 503000, 657000,      0,City of West Allis Ward 16
 461,1574,1350, 857687, 503703, 474814, 478888, 492221, 500274, 683703, 505925, 496988, 491851, 478518,      0,      0, 465925, 505925, 683703,      0,City of West Allis Ward 17
 462,1811,1556, 859193, 484575, 495501, 465938, 511567, 500934, 641388, 512853, 497763, 467866, 510282,      0,      0, 464010, 512853, 641388,      0,City of West Allis Ward 18
 463,1646,1418, 861482, 519040, 457686, 483427, 484132, 500014, 659379, 491537, 497062, 492242, 476727,      0,      0, 474612, 491537, 659379,      0,City of West Allis Ward 19
 464,1172,1028, 877133, 543774, 440661, 533073, 432879, 497917, 672178, 432879, 495599, 533073, 432879,      0,      0, 672178,      0, 672178,      0,City of West Allis Ward 20
 465,1504,1279, 850398, 534010, 447224, 507818, 457388, 498954, 677873, 468334, 496302, 517591, 446442,      0,      0, 498045, 468334, 677873,      0,City of West Allis Ward 21
 466,1231, 992, 805848, 570564, 413306, 526209, 445564, 498336, 699596, 460685, 495822, 542338, 430443,      0,      0, 510080, 460685, 699596,      0,City of West Allis Ward 22
 467,1648,1441, 874393, 476058, 506592, 446217, 524635, 501618, 645385, 536433, 498150, 458709, 512838,      0,      0, 433726, 536433, 645385,      0,City of West Allis Ward 23
 468,1096, 924, 843065, 597402, 386363, 568722, 407467, 496665, 722943, 413419, 494411, 571428, 401515,      0,      0, 566017, 413419, 722943,      0,City of West Allis Ward 24
 469,1517,1372, 904416, 476676, 500000, 444241, 529882, 501762, 626093, 548833, 498682, 462099, 510932,      0,      0, 426384, 548833, 626093,      0,City of West Allis Ward 25
 470, 977, 784, 802456, 661989, 317602, 636479, 280612, 491810, 696428, 280612, 490910, 636479, 280612,      0,      0, 696428,      0, 676020,      0,V. West Milwaukee Wards 125
 471,1048, 921, 878816, 663409, 314875, 618892, 306188, 492962, 735070, 306188, 491242, 618892, 306188,      0,      0, 735070,      0, 711183,      0,V. West Milwaukee Wards 346
 472,1753,1630, 929834, 640490, 337423, 547238, 421472, 497388, 685889, 433742, 495417, 539877, 421472, 540490, 433742, 561349, 409202, 685889,      0,V. Whitefish Bay Wards 12
 473,1642,1518, 924482, 693017, 287878, 609573, 357707, 494669, 698287, 365612, 493529, 604743, 350461, 606060, 365612, 617918, 357048, 698287,      0,V. Whitefish Bay Wards 34
 474,1849,1678, 907517, 684147, 298569, 600317, 370083, 495162, 685339, 384386, 494217, 590584, 364719, 593563, 384386, 616805, 361144, 685339,      0,V. Whitefish Bay Wards 56
 475, 919, 837, 910772, 733572, 248506, 667861, 300278, 492006, 737156, 307048, 491242, 669056, 291517, 663082, 307048, 671445, 302270, 737156,      0,V. Whitefish Bay Ward 7
 476,2031,1847, 909404, 727666, 261505, 658544, 313841, 492588, 726583, 325933, 491983, 648077, 307525, 656199, 325933, 671358, 308067, 726583,      0,V. Whitefish Bay Wards 810
 477,1807,1619, 895960, 747992, 233477, 693225, 277949, 490860, 764669, 292773, 490399, 686843, 269302, 687461, 292773, 705373, 271772, 764669,      0,V. Whitefish Bay Wards 911
 478,1068, 998, 934456, 668336, 310621, 586506, 380427, 495671, 669338, 397795, 494796, 577154, 382765, 571142, 397795, 611222, 360721, 669338,      0,V. Whitefish Bay Ward 12
