WardNo,Registered,TotalBallots,ppmVoterTurnout,ppmDemPOTUS,ppmRepPOTUS,ppmDemAverage,ppmRepAverage,logitAverage,ppmDemMaxes,ppmRepMaxes,logitMaxes,ppmDemREPUS,ppmRepREPUS,ppmDemSenWi,ppmRepSenWi,ppmDemRepWi,ppmRepRepWi,ppmDemMinor,ppmRepMinor,WardName
 249, 610, 366, 600000, 770491, 215846, 739070, 195354, 486694, 822404, 199453, 485833, 729508, 191256,      0,      0, 748633, 199453, 822404,      0,City of Milwaukee Ward 249
 250, 484, 347, 716942, 809798, 172910, 776656, 158501, 484107, 827089, 175792, 484513, 783861, 141210,      0,      0, 769452, 175792, 827089,      0,City of Milwaukee Ward 250
 251, 373, 238, 638069, 752100, 222689, 733193, 197478, 486882, 798319, 205882, 486447, 747899, 189075,      0,      0, 718487, 205882, 798319,      0,City of Milwaukee Ward 251
 252, 627, 458, 730462, 746724, 235807, 730349, 224890, 488220, 801310, 233624, 487674, 737991, 216157,      0,      0, 722707, 233624, 801310,      0,City of Milwaukee Ward 252
 253, 282, 210, 744680, 709523, 276190, 652380, 238095, 489920, 733333, 247619, 489142, 623809, 228571,      0,      0, 680952, 247619, 733333,      0,City of Milwaukee Ward 253
 254, 299, 194, 648829, 737113, 242268, 721649, 203608, 487346, 778350, 211340, 486962, 706185, 195876,      0,      0, 737113, 211340, 778350,      0,City of Milwaukee Ward 254
 255, 362, 256, 707182, 777343, 203125, 742187, 173828, 485484, 765625, 187500, 485930, 761718, 160156,      0,      0, 722656, 187500, 765625,      0,City of Milwaukee Ward 255
 256, 447, 274, 612975, 781021, 186131, 786495, 158759, 483998, 806569, 178832, 484936, 791970, 138686,      0,      0, 781021, 178832, 806569,      0,City of Milwaukee Ward 256
 257, 898, 628, 699331, 778662, 197452, 738853, 183120, 486050, 807324, 199044, 485998, 740445, 167197,      0,      0, 737261, 199044, 807324,      0,City of Milwaukee Ward 257
 258, 967, 724, 748707, 751381, 233425, 734115, 218231, 487868, 798342, 222375, 487218, 723756, 214088,      0,      0, 744475, 222375, 798342,      0,City of Milwaukee Ward 258
 259, 646, 511, 791021, 743639, 240704, 740704, 205479, 487177, 818003, 213307, 486558, 724070, 197651,      0,      0, 757338, 213307, 818003,      0,City of Milwaukee Ward 259
 260, 467, 405, 867237, 716049, 266666, 698765, 250617, 489746, 790123, 256790, 488760, 701234, 244444,      0,      0, 696296, 256790, 790123,      0,City of Milwaukee Ward 260
 261, 604, 523, 865894, 644359, 332695, 613766, 330783, 493818, 759082, 330783, 491693, 613766, 330783,      0,      0, 759082,      0, 753346,      0,City of Milwaukee Ward 261
